old_offer_id,new_article,product_group,garment,hoodie_fit,hoodie_fabric,size,ozon_sku,design_key
"var8-Hoodie-Emb-White-S","D008-HDY-EMB-WHT-REG-FLC-V01-S","Худи с вышивкой Gravity","hoodie","REG","FLC","S","3134088911","var8|embroidery|hoodie|white"
"var8","D008-TSH-EMB-WHT-V01-ONE","Футболка с вышивкой Gravity Белая","tshirt","","","ONE","3134088444","var8|embroidery|tshirt|white"
"var8-Emb-White-L","D008-TSH-EMB-WHT-V01-L","Футболка с вышивкой Gravity Белая","tshirt","","","L","3134089476","var8|embroidery|tshirt|white"
"var8-Emb-White-M","D008-TSH-EMB-WHT-V01-M","Футболка с вышивкой Gravity Белая","tshirt","","","M","3134088525","var8|embroidery|tshirt|white"
"var8-Emb-White-XL","D008-TSH-EMB-WHT-V01-XL","Футболка с вышивкой Gravity Белая","tshirt","","","XL","3134088434","var8|embroidery|tshirt|white"
"var8-Black-S","D008-TSH-PRT-BLK-V01-S","Футболка с принтом Gravity Черный","tshirt","","","S","3134088550","var8|print|tshirt|black"
"var8-Print-Black-L","D008-TSH-PRT-BLK-V01-L","Футболка с принтом Gravity Черный","tshirt","","","L","3134088678","var8|print|tshirt|black"
"var8-Print-Black-M","D008-TSH-PRT-BLK-V01-M","Футболка с принтом Gravity Черный","tshirt","","","M","3134088952","var8|print|tshirt|black"
"var8-Print-Black-XL","D008-TSH-PRT-BLK-V01-XL","Футболка с принтом Gravity Черный","tshirt","","","XL","3134088478","var8|print|tshirt|black"
"var8-Print-Gray-Washed-M","D008-TSH-PRT-WGRY-V01-M","Футболка варенка с принтом Gravity Серая","tshirt","","","M","3134088925","var8|print|tshirt|washed-grey"
"var8-Print-Gray-Washed-S","D008-TSH-PRT-WGRY-V01-S","Футболка варенка с принтом Gravity Серая","tshirt","","","S","3134088689","var8|print|tshirt|washed-grey"
"var8-Print-White-L","D008-TSH-PRT-WHT-V01-L","Футболка с принтом Gravity Белая","tshirt","","","L","3134088721","var8|print|tshirt|white"
"var8-Print-White-M","D008-TSH-PRT-WHT-V01-M","Футболка с принтом Gravity Белая","tshirt","","","M","3134088898","var8|print|tshirt|white"
"var8-Print-White-S","D008-TSH-PRT-WHT-V01-S","Футболка с принтом Gravity Белая","tshirt","","","S","3134088482","var8|print|tshirt|white"
"var8-Print-White-XL","D008-TSH-PRT-WHT-V01-XL","Футболка с принтом Gravity Белая","tshirt","","","XL","3134088868","var8|print|tshirt|white"
"var12-M","D012-TSH-EMB-WHT-V01-M","Футболка Наруто с вышивкой Дарт Вейдер Белая","tshirt","","","M","3134088715","var12|embroidery|tshirt|white"
"var12-S","D012-TSH-EMB-WHT-V01-S","Футболка Наруто с вышивкой Дарт Вейдер Белая","tshirt","","","S","3134088722","var12|embroidery|tshirt|white"
"var13-M","D013-TSH-EMB-WHT-V01-M","Футболка Наруто с вышивкой Itachi Белая","tshirt","","","M","3134088864","var13|embroidery|tshirt|white"
"var13-S","D013-TSH-EMB-WHT-V01-S","Футболка Наруто с вышивкой Itachi Белая","tshirt","","","S","3134088418","var13|embroidery|tshirt|white"
"var14-Emb-White-XL","D014-TSH-EMB-WHT-V01-XL","Футболка Наруто с вышивкой Madara Белая","tshirt","","","XL","3538956885","var14|embroidery|tshirt|white"
"var14-M","D014-TSH-EMB-WHT-V01-M","Футболка Наруто с вышивкой Madara Белая","tshirt","","","M","3134088669","var14|embroidery|tshirt|white"
"var14-S","D014-TSH-EMB-WHT-V01-S","Футболка Наруто с вышивкой Madara Белая","tshirt","","","S","3134088694","var14|embroidery|tshirt|white"
